#{"t_start": 1777563099.7796097, "env_id": "MiniGrid-Empty-5x5-v0"}
r,l,t
0.351,11,12.273082
0.587,7,12.277081
0.174,14,12.293135
-0.652,28,12.313195
0.469,9,12.319194
-0.475,25,12.336258
0.705,5,12.341258
0.233,13,12.349315
0.469,9,12.357315
0.587,7,12.364375
0.705,5,12.367375
0.528,8,12.373375
0.528,8,12.38043
0.351,11,12.388431
0.174,14,12.40243
0.115,15,12.422431
0.528,8,12.429504
0.587,7,12.436506
0.705,5,12.442505
-0.062,18,12.462717
0.469,9,12.471717
0.587,7,12.47991
-0.357,23,12.499909
0.41,10,12.51291
0.469,9,12.521909
0.587,7,12.528909
0.174,14,12.542909
0.233,13,12.556983
0.41,10,12.566052
-0.239,21,12.584108
0.292,12,12.593108
0.351,11,12.601108
0.587,7,12.606108
-0.416,24,12.629159
0.705,5,12.634159
-0.711,29,12.66028
0.115,15,12.675396
0.469,9,12.681516
0.292,12,12.689516
-0.003,17,12.70351
0.705,5,12.70851
0.351,11,12.719644
0.115,15,12.736759
0.174,14,12.752758
-0.357,23,12.773817
0.469,9,12.782946
0.41,10,12.788946
0.292,12,12.795945
0.587,7,12.802946
0.351,11,12.814102
-0.239,21,12.833273
0.646,6,12.844273
0.174,14,12.857438
0.351,11,12.869438
0.41,10,12.878438
0.587,7,12.88556
0.469,9,12.89156
0.705,5,12.896559
0.587,7,12.899559
0.351,11,12.907559
-0.121,19,12.920609
0.646,6,12.923609
0.41,10,12.931723
0.41,10,12.938721
0.351,11,12.952889
0.351,11,12.962889
0.646,6,12.967888
0.41,10,12.978888
-0.003,17,12.995888
0.41,10,13.006888
0.41,10,13.015036
-0.416,24,13.03816
0.646,6,13.046206
0.292,12,13.054206
0.41,10,13.059206
0.174,14,13.07425
0.469,9,13.080249
0.174,14,13.089249
0.587,7,13.095249
0.233,13,13.103249
0.351,11,13.112301
0.469,9,13.1213
0.587,7,13.129349
-0.18,20,13.148401
0.115,15,13.162482
0.469,9,13.167481
0.528,8,13.172482
0.292,12,13.184556
0.351,11,13.193555
0.469,9,13.198556
-0.298,22,13.213626
0.469,9,13.219626
0.292,12,13.23067
0.174,14,13.24367
0.528,8,13.251794
0.528,8,13.259793
0.528,8,13.267853
0.646,6,13.274852
0.587,7,13.282975
0.646,6,13.291974
0.528,8,13.296974
0.41,10,13.304974
0.646,6,13.307974
0.528,8,13.313974
0.469,9,13.319974
-0.062,18,13.338025
-0.357,23,13.360065
-0.003,17,13.376208
0.469,9,13.385258
0.528,8,13.393258
0.646,6,13.404258
0.351,11,13.410258
0.056,16,13.420258
0.705,5,13.424258
-0.003,17,13.43432
0.469,9,13.44032
0.41,10,13.448365
0.056,16,13.459364
-0.534,26,13.477481
0.646,6,13.484653
0.646,6,13.489653
0.115,15,13.499653
0.233,13,13.511702
0.351,11,13.520701
0.351,11,13.527701
0.528,8,13.532701
0.705,5,13.535701
0.351,11,13.543701
0.646,6,13.546793
0.351,11,13.555793
0.41,10,13.561906
0.469,9,13.568906
0.41,10,13.575904
0.587,7,13.581053
0.351,11,13.589052
0.587,7,13.593053
0.587,7,13.599052
-0.357,23,13.623183
-0.239,21,13.644183
0.41,10,13.655297
-0.003,17,13.671346
0.528,8,13.678573
0.469,9,13.683573
0.41,10,13.690573
0.115,15,13.698574
0.587,7,13.703573
0.646,6,13.708573
-0.416,24,13.723718
0.351,11,13.736778
0.587,7,13.744778
0.469,9,13.750778
0.469,9,13.756779
0.41,10,13.762913
-0.121,19,13.775911
0.646,6,13.78003
0.351,11,13.78903
0.705,5,13.794029
0.528,8,13.801029
0.646,6,13.810029
0.528,8,13.818137
0.292,12,13.829268
0.528,8,13.841267
0.705,5,13.84527
0.174,14,13.855268
0.528,8,13.860267
0.587,7,13.864267
0.292,12,13.872267
-0.416,24,13.88832
-0.003,17,13.902319
0.528,8,13.910319
0.528,8,13.918567
0.587,7,13.923567
-0.003,17,13.941681
0.705,5,13.948844
0.41,10,13.956843
0.587,7,13.961843
0.115,15,13.970843
0.587,7,13.975843
-0.18,20,13.989897
0.469,9,13.995896
0.587,7,14.000896
-0.121,19,14.014946
-0.239,21,14.038058
0.646,6,14.043057
0.646,6,14.051107
0.705,5,14.055107
0.233,13,14.069171
0.646,6,14.075171
0.115,15,14.084171
0.705,5,14.089171
0.587,7,14.093169
0.292,12,14.101169
0.587,7,14.107169
0.469,9,14.113232
0.469,9,14.120232
0.351,11,14.127232
0.646,6,14.13228
0.292,12,14.142279
0.351,11,14.154341
0.292,12,14.166383
0.705,5,14.174862
0.469,9,14.183908
0.41,10,14.195906
0.056,16,14.212986
-0.003,17,14.224985
-0.003,17,14.237072
0.528,8,14.243071
0.587,7,14.248157
0.587,7,14.25315
0.292,12,14.262223
0.705,5,14.265223
0.528,8,14.271222
-0.003,17,14.290294
-0.652,28,14.310294
0.705,5,14.313355
-2.776,64,14.363539
0.587,7,14.372539
0.587,7,14.379603
0.528,8,14.388602
