#{"t_start": 1777565293.870536, "env_id": "MiniGrid-Empty-5x5-v0"}
r,l,t
-3.92,100,36.298934
-4.205,100,36.396359
-3.885,100,36.495665
-3.79,100,36.578949
-3.885,100,36.678411
-4.2525,100,36.770966
-4.175,100,36.863347
-3.795,100,36.942543
-3.3225,95,37.031984
-4.0825,100,37.116391
-2.6245,83,37.183765
-3.86,100,37.282258
-3.925,100,37.38333
-3.94,100,37.475488
-3.925,100,37.551742
-3.9125,100,37.637149
-4.0325,100,37.72142
-2.3155,77,37.792675
-3.8875,100,37.906066
-3.8875,100,37.990758
-4.1425,100,38.092033
-3.815,100,38.190305
-3.9225,100,38.290649
-4.0525,100,38.382031
-3.83,100,38.476188
-0.22,40,38.504314
-1.928,72,38.575314
-3.815,100,38.661713
-3.94,100,38.743055
-4.0025,100,38.842585
-4.0225,100,38.946845
-3.8525,100,39.048455
-3.85,100,39.148784
-3.96,100,39.247874
-3.94,100,39.347565
-3.95,100,39.427068
1.116,16,39.438065
1.283,13,39.446064
-3.9625,100,39.5356
-1.4845,63,39.592721
-4.2125,100,39.692049
-4.1075,100,39.778362
-3.93,100,39.890879
-3.95,100,39.98849
-4.185,100,40.077696
-3.8475,100,40.173155
-4.0675,100,40.269435
-3.9775,100,40.351628
-1.0775,55,40.40678
-4.1175,100,40.481054
-3.7475,100,40.581382
-0.151,39,40.608523
-4.1525,100,40.708752
-4.0575,100,40.784891
1.563,8,40.792891
-4.1225,100,40.870277
-3.905,100,40.970611
-3.9525,100,41.053802
-3.93,100,41.145103
-1.325,60,41.194529
-3.67,100,41.277811
-3.94,100,41.352976
0.5195,27,41.371089
-4.005,100,41.45742
-3.8775,100,41.555842
-4.3725,100,41.647786
-3.9875,100,41.728063
-2.2505,77,41.813425
-4.01,100,41.900682
-3.76,100,42.010903
-3.92,100,42.098175
-4.1775,100,42.19137
-4.0175,100,42.301707
-4.3275,100,42.404254
-3.77,100,42.497396
-2.47,80,42.560533
-4.0475,100,42.649424
-3.7625,100,42.737839
